00000000,084A0A1C,0849A410,084A2FA4,084A4700,084A6BCC,084ACEF0,00000000,00000000
184A0218,884A0338,A84A03A4,00000000,00000000,00000000,00000000,00000000,00000000
084A2228,00000000,084A1FC0,084A22B8,084A4880,084A6998,00000000,00000000,00000000
084A0BEC,084A0BEC,084A9884,00000000,084A8CE0,00000000,00000000,00000000,00000000
084AB2F0,084A0AC4,084A99B8,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000
